State,StarDiff
QLD, 0.0
QLD, 0.3
QLD,-0.3
QLD,-0.2
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD,-0.1
QLD,-0.3
QLD, 0.0
QLD,-0.3
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD,-0.2
QLD, 0.0
QLD, 0.1
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.2
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.1
QLD,-0.2
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD,-0.2
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.1
QLD, 0.0
QLD, 0.2
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD, 0.1
QLD,-0.2
QLD,-0.2
QLD,-0.3
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.4
QLD,-0.2
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.3
QLD,-0.2
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD,-0.3
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD,-0.2
QLD,-0.3
QLD, 0.2
QLD,-0.3
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.3
QLD,-0.3
QLD,-0.3
QLD, 0.1
QLD,-0.3
QLD, 0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.4
QLD, 0.1
QLD, 0.2
QLD,-0.3
QLD, 0.0
QLD, 0.0
QLD,-0.3
QLD, 0.2
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD,-0.5
QLD, 0.1
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD,-0.1
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD, 0.2
QLD, 0.2
QLD, 0.2
QLD, 0.1
QLD, 0.1
QLD, 0.2
QLD, 0.2
QLD, 0.0
QLD, 0.0
QLD, 0.2
QLD, 0.1
QLD, 0.2
QLD, 0.2
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.2
QLD, 0.1
QLD, 0.1
QLD, 0.2
QLD, 0.0
QLD, 0.1
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD, 0.1
QLD, 0.1
QLD, 0.2
QLD, 0.1
QLD, 0.2
QLD, 0.2
QLD, 0.1
QLD, 0.2
QLD, 0.1
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.2
QLD, 0.1
QLD, 0.2
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD, 0.3
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD, 0.2
QLD, 0.0
QLD, 0.2
QLD, 0.3
QLD, 0.3
QLD, 0.0
QLD, 0.3
QLD, 0.3
QLD, 0.2
QLD, 0.3
QLD, 0.3
QLD, 0.2
QLD, 0.1
QLD, 0.1
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.3
QLD, 0.0
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD, 0.1
QLD, 0.0
QLD, 0.0
QLD,-0.1
WA, 0.0
WA, 0.0
WA,-0.1
WA, 0.0
WA,-0.2
WA, 0.0
WA,-0.2
WA,-0.3
WA,-0.2
WA, 0.0
WA,-0.2
WA, 0.3
WA,-0.2
WA,-0.4
WA,-0.3
WA,-0.1
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.3
WA,-0.2
WA,-0.1
WA,-0.4
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA, 0.0
WA,-0.1
WA,-0.1
WA,-0.3
WA,-0.2
WA,-0.2
WA,-0.4
WA, 0.2
WA,-0.1
WA, 0.1
WA, 0.2
WA, 0.1
WA, 0.0
WA, 0.1
WA, 0.0
WA, 0.0
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.1
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.0
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.1
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.3
WA, 0.3
WA, 0.3
WA, 0.3
WA, 0.3
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.3
WA, 0.2
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.3
WA, 0.3
WA, 0.2
WA, 0.2
WA, 0.2
WA, 0.3
WA, 0.1
WA, 0.2
WA, 0.0
WA, 0.0
WA, 0.2
WA, 0.2
WA, 0.3
WA, 0.1
WA, 0.1
WA, 0.1
WA, 0.2
WA, 0.1
WA, 0.2
WA, 0.2
WA, 0.5
WA,-0.1
WA, 0.2
WA,-0.1
WA,-0.3
WA,-0.2
WA,-0.2
WA, 0.1
WA,-0.1
WA, 0.1
WA, 0.0
WA, 0.0
WA,-0.2
WA, 0.3
WA, 0.0
WA, 0.0
WA, 0.2
WA,-0.1
WA,-0.1
WA,-0.2
WA, 0.2
WA, 0.0
WA,-0.1
WA,-0.3
WA,-0.4
WA,-0.1
WA,-0.2
WA, 0.0
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.1
WA,-0.1
WA,-0.3
WA,-0.3
WA,-0.3
WA,-0.1
WA,-0.3
WA,-0.3
WA,-0.1
WA,-0.3
WA,-0.1
WA,-0.1
WA,-0.2
WA,-0.2
WA,-0.2
WA,-0.2
